timestamp,variable,n_available,median,q1,q3,iqr,min,max,range,std
2025-01-20 14:00:00,T2m,3,274.6190592447917,274.4606119791667,274.832763671875,0.3721516927083144,274.3021647135417,275.0464680989583,0.7443033854166288,0.3049750448987302
2025-01-20 15:00:00,T2m,3,275.6849772135417,275.68359375,275.8545328776042,0.17093912760418561,275.6822102864583,276.0240885416667,0.34187825520837123,0.1605147587996216
2025-01-20 16:00:00,T2m,3,277.39111328125,277.29903157552087,277.52880859375,0.22977701822912877,277.2069498697917,277.66650390625,0.4595540364583144,0.18884034140658043
2025-01-20 17:00:00,T2m,3,278.9733072916667,278.8884684244792,279.0861002604167,0.1976318359375,278.8036295572917,279.1988932291667,0.395263671875,0.16190289237842356
2025-01-20 18:00:00,T2m,3,280.22705078125,280.22086588541663,280.34403483072913,0.1231689453125,280.2146809895833,280.4610188802083,0.246337890625,0.11332178344755907
2025-01-20 19:00:00,T2m,2,281.17525227864587,281.17071533203125,281.17978922526044,0.009073893229185614,281.1661783854167,281.184326171875,0.018147786458314386,0.009073893229157193
2025-01-20 20:00:00,T2m,2,281.6785481770833,281.6734212239583,281.6836751302083,0.01025390625,281.6682942708333,281.6888020833333,0.0205078125,0.01025390625
2025-01-20 21:00:00,T2m,2,281.6229248046875,281.6119588216146,281.6338907877604,0.021931966145757542,281.6009928385417,281.6448567708333,0.04386393229162877,0.021931966145814386
2025-01-20 22:00:00,T2m,2,280.87723795572913,280.87310791015625,280.88136800130206,0.008260091145814386,280.8689778645833,280.885498046875,0.016520182291685614,0.008260091145842807
2025-01-20 23:00:00,T2m,2,278.8849283854167,278.8454996744792,278.9243570963542,0.078857421875,278.8060709635417,278.9637858072917,0.15771484375,0.078857421875
2025-01-20 00:00:00,Td2m,3,282.212890625,282.06241861979163,282.68546549479163,0.623046875,281.9119466145833,283.1580403645833,1.24609375,0.53089284976968
2025-01-20 01:00:00,Td2m,3,280.337158203125,280.09440104166663,280.62540690104163,0.531005859375,279.8516438802083,280.9136555989583,1.06201171875,0.43409449763875274
2025-01-20 02:00:00,Td2m,3,278.9232584635417,278.21435546875,279.35884602864587,1.1444905598958712,277.5054524739583,279.79443359375,2.2889811197916856,0.9433129855493795
2025-01-20 03:00:00,Td2m,3,276.4340006510417,275.7970377604167,277.2029215494792,1.4058837890625,275.1600748697917,277.9718424479167,2.811767578125,1.1495835575326145
2025-01-20 04:00:00,Td2m,3,274.9192708333333,274.3256429036458,275.3853352864583,1.0596923828125,273.7320149739583,275.8513997395833,2.119384765625,0.8673223518553095
2025-01-20 05:00:00,Td2m,3,273.5194498697917,273.227783203125,274.095947265625,0.8681640625,272.9361165364583,274.6724446614583,1.736328125,0.7214576390932619
2025-01-20 06:00:00,Td2m,3,272.3999837239583,271.98392740885413,272.583740234375,0.5998128255208712,271.56787109375,272.7674967447917,1.1996256510416856,0.5018387249208274
2025-01-20 07:00:00,Td2m,3,271.657470703125,271.17740885416663,271.779052734375,0.6016438802083712,270.6973470052083,271.900634765625,1.2032877604166856,0.519494167538783
2025-01-20 08:00:00,Td2m,3,270.585693359375,270.25496419270837,270.80428059895837,0.54931640625,269.9242350260417,271.0228678385417,1.0986328125,0.45161964191518617
