timestamp,T2m,Td2m,RH2m
2025-01-15 05:00:00,278.5323079427083,271.558349609375,89.46840767825518
2025-01-15 06:00:00,278.1337890625,271.280029296875,89.62688885645748
2025-01-15 07:00:00,277.9734700520833,270.9254557291667,89.33860888353331
2025-01-15 08:00:00,277.98193359375,270.5719401041667,88.81600593594403
2025-01-15 09:00:00,277.4481608072917,270.1376139322917,88.93765100786315
2025-01-15 10:00:00,277.6630859375,269.6971842447917,88.0037134605547
2025-01-15 11:00:00,278.3309733072917,269.25634765625,86.45680537123708
2025-01-15 12:00:00,277.554443359375,268.7816569010417,86.84793425672899
2025-01-15 13:00:00,277.8963216145833,268.8489583333333,86.47516135047704
2025-01-15 14:00:00,280.092041015625,270.2334798177083,85.44904353104198
2025-01-15 15:00:00,282.5935872395833,270.9649251302083,83.16496016800532
2025-01-15 16:00:00,284.834228515625,271.7646484375,81.38582460831428
2025-01-15 17:00:00,286.2361246744792,271.8960774739583,79.82424926344349
2025-01-15 18:00:00,287.8772786458333,271.6839192708333,77.58612023203743
2025-01-15 19:00:00,288.4200439453125,271.4789225260417,76.69540020340715
2025-01-15 20:00:00,288.6472574869792,271.6150716145833,76.59974375289912
2025-01-15 21:00:00,288.5225830078125,271.856689453125,77.04466789600416
2025-01-15 22:00:00,287.2268473307292,275.6329752604167,83.48672749861073
2025-01-15 23:00:00,284.3506266276042,274.5135904947917,85.69916694235144
2025-01-16 00:00:00,282.3534342447917,274.1388346354167,87.8557214035564
2025-01-16 01:00:00,281.1039225260417,273.7937825520833,89.08697040514097
2025-01-16 02:00:00,280.1460774739583,273.9038899739583,90.59123888920588
2025-01-16 03:00:00,279.3150227864583,273.9832356770833,91.89411305573272
2025-01-16 04:00:00,278.732177734375,274.41455078125,93.38070914221639
2025-01-16 05:00:00,278.2091471354167,274.5736490885417,94.3920743250095
2025-01-16 06:00:00,278.8041178385417,275.0795084635417,94.27113106997702
2025-01-16 07:00:00,279.1632486979167,275.1226399739583,93.81028067781945
2025-01-16 08:00:00,279.2688802083333,274.787841796875,93.15680940853015
2025-01-16 09:00:00,279.716796875,274.3777669270833,91.89640568154668
2025-01-16 10:00:00,280.0301106770833,274.1942545572917,91.17668424108062
2025-01-16 11:00:00,280.1708170572917,274.1190592447917,90.86593401789996
2025-01-16 12:00:00,280.1504720052083,274.0777994791667,90.83510664101941
2025-01-16 13:00:00,280.412841796875,274.20166015625,90.64266381175986
2025-01-16 14:00:00,281.0362955729167,274.652587890625,90.41414220153449
2025-01-16 15:00:00,282.3461100260417,275.1236165364583,89.25882002543433
2025-01-16 16:00:00,284.3412679036458,274.999267578125,86.38170084316918
2025-01-16 17:00:00,287.3890787760417,273.333984375,80.27235295480448
2025-01-16 18:00:00,288.9195149739583,272.509033203125,77.39312435692295
2025-01-16 19:00:00,289.5854085286458,271.88525390625,75.85082655560603
2025-01-16 20:00:00,289.7142333984375,272.0160319010417,75.86499331535015
2025-01-16 21:00:00,289.4015299479167,272.9618326822917,77.39437246911523
2025-01-16 22:00:00,288.05029296875,276.3382975260417,83.38458153457078
2025-01-16 23:00:00,284.996337890625,275.104248046875,85.65486298071552
2025-01-17 00:00:00,283.6741129557292,274.3712565104167,86.4017812818551
2025-01-17 01:00:00,282.4383951822917,273.0196126302083,86.18011390860526
2025-01-17 02:00:00,280.9099934895833,271.680908203125,86.36887456303077
2025-01-17 03:00:00,279.9964192708333,271.136962890625,86.83976076017463
2025-01-17 04:00:00,279.3116861979167,271.4833170572917,88.27310326464867
2025-01-17 05:00:00,278.837890625,272.481201171875,90.37969505875897
2025-01-17 06:00:00,278.5770670572917,273.9593098958333,92.9325568005533
2025-01-17 07:00:00,278.4549153645833,275.3040364583333,95.13202876545095
2025-01-17 08:00:00,278.0948893229167,275.9147135416667,96.60635887560568
2025-01-17 09:00:00,277.19775390625,275.538818359375,97.40030348736764
2025-01-17 10:00:00,276.6278483072917,275.1913248697917,97.7409303074402
2025-01-17 11:00:00,276.157470703125,274.8304036458333,97.90831288409605
2025-01-17 12:00:00,275.9310709635417,274.5486653645833,97.82076981763738
2025-01-17 13:00:00,276.4833170572917,275.061767578125,97.76519792678486
2025-01-17 14:00:00,280.7657877604167,277.11474609375,94.42484552793348
